Screen-Size,RAM,Price,Brand,Processor,GPU,GPU-Type,Resolution,Condition
13.3,16,480.69,HP,Intel Core i5 7th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Open box
14.1,16,418.75,Gateway,Intel Core i5 11th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
15.0,16,441.99,HP,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
13.0,16,999.99,Microsoft,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2880 x 1920,New
14.0,16,539.96,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
13.5,8,349.0,Microsoft,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,Open box
14.0,16,650.0,Lenovo,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
14.0,16,588.99,HP,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,16,739.0,Acer,Intel Core i5 12th Gen.,NVIDIA GeForce RTX 4050,Dedicated Graphics,1920 x 1080,Open box
15.6,16,799.0,Dell,Intel Core i7 11th Gen.,NVIDIA T600,Dedicated Graphics,1920 x 1080,Open box
13.3,16,389.99,Lenovo,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
15.0,64,868.99,Dell,Intel Core i7 11th Gen.,NVIDIA RTX A2000 Laptop GPU,Dedicated Graphics,1920 x 1080,Good - Refurbished
14.1,8,339.99,Sony,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,8,549.99,Asus,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2880 x 1800,Open box
14.0,8,14.85,HP,Intel Core i5 6th Gen.,Intel HD Graphics 520,Integrated Graphics,1920 x 1080,New
10.1,16,699.0,Panasonic,Intel Core i5 7th Gen.,Intel HD Graphics 615,Integrated Graphics,1920 x 1200,New
15.6,8,152.99,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 630,Integrated Graphics,1920 x 1080,Very Good - Refurbished
12.4,8,379.99,Microsoft,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1536 x 1024,New
14.0,8,605.27,Lenovo,Intel Core i5 10th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,Open box
15.6,8,639.0,HP,Intel Core i5 10th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,319.99,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Excellent - Refurbished
14.0,32,245.0,Dell,Intel Core i5 7th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Good - Refurbished
12.3,8,499.0,Microsoft,Intel Core i5 10th Gen.,AMD FirePro M4100,Integrated Graphics,2736 x 1824,Open box
15.6,8,669.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,299.88,Asus,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
17.3,4,539.0,HP,Intel Core i5 4th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
14.0,8,449.0,Dell,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
17.0,8,999.0,Dell,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1200,Open box
15.6,16,285.0,Dell,Intel Core i5 7th Gen.,Nvidia Quadro M620 with 2GB GDDR5,Dedicated Graphics,1920 x 1080,Good - Refurbished
14.0,16,215.95,HP,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
12.5,8,233.95,Lenovo,Intel Core i5 8th Gen.,Intel HD Graphics,Integrated Graphics,1366 x 768,Very Good - Refurbished
13.3,8,499.99,Dell,Intel Core i5 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,Open box
14.0,16,288.0,HP,Intel Core i7 5th Gen.,AMD FirePro M4150 & Intel HD Graphics 5500,Integrated Graphics,1600 x 900,Very Good - Refurbished
15.0,16,719.99,HP,Intel Core i9 11th Gen.,NVIDIA T1200 Laptop GPU,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
12.5,8,139.99,Lenovo,Intel Core i5 4th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Good - Refurbished
14.0,32,949.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
14.0,16,329.99,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
15.6,8,375.0,Asus,Intel Core i3 11th Gen.,Intel HD Graphics 5000,Integrated Graphics,1920 x 1080,New
12.5,8,185.0,HP,Intel Core i5 4th Gen.,Intel HD Graphics,Integrated Graphics,1600 x 900,Good - Refurbished
13.3,16,360.99,Dell,Intel Core i7 7th Gen.,Intel(R) Iris(R) Plus Graphics 640,Integrated Graphics,3200 x 1800,Good - Refurbished
14.0,16,800.0,LG,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
16.0,8,509.99,Dell,Intel Core i5 12th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated Graphics,1920 x 1200,Open box
13.3,8,819.99,HP,Intel Core i7 10th Gen.,Intel Iris Plus Graphics,Integrated Graphics,3840 x 2160,New
13.3,8,582.77,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
17.3,8,679.0,Dell,Intel Core i7 10th Gen.,Intel Iris Plus Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
12.5,16,229.99,Dell,Intel Core i7 6th Gen.,Intel HD Graphics 520,Integrated Graphics,1920 x 1080,Very Good - Refurbished
