Screen-Size,RAM,Price,Brand,Processor,GPU,GPU-Type,Resolution,Condition
14.0,8,329.99,Lenovo,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
12.4,8,549.99,Microsoft,Intel Core i5 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,Open box
15.6,16,599.0,Asus,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.3,8,579.0,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.0,16,0.0,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1280,Open box
14.0,16,495.95,HP,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
15.6,16,349.99,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,Excellent - Refurbished
14.0,8,500.0,Acer,Intel Core i7 11th Gen.,Intel HD Graphics,Integrated Graphics,1920 x 1080,New
15.6,32,657.06,Lenovo,Intel Core i5 11th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
14.0,16,116.11,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
13.3,8,549.99,Dell,Intel Core i5 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
14.0,16,629.0,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,514.99,HP,Intel Core i5 12th Gen.,Intel(R) UHD Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
15.0,8,900.0,Microsoft,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2496 x 1664,Open box
14.0,16,974.99,HP,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
13.0,8,539.99,Microsoft,Intel Core i5 8th Gen.,AMD FirePro M4100,Integrated Graphics,2256 x 1504,Open box
14.0,8,270.0,HP,Intel Core i5 8th Gen.,Intel HD 620,Integrated Graphics,1920 x 1080,Good - Refurbished
16.0,16,859.99,Dell,Intel Core i7 13th Gen.,NVIDIA GeForce MX550,Integrated Graphics,3840 x 2400,Open box
14.0,8,334.15,Lenovo,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,549.0,Asus,Intel Core i3 12th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,New
14.0,16,614.97,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,4,289.99,HP,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,Open box
12.4,8,550.0,Microsoft,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1536 x 1024,Open box
15.6,16,699.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,503.34,MSI,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,280.0,Dell,Intel Core i7 5th Gen.,Intel HD Graphics 5500,Integrated Graphics,1920 x 1080,Good - Refurbished
15.6,16,679.99,Dell,Intel Core i7 12th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,New
14.0,8,589.0,HP,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1024 x 768,New
14.0,8,389.99,Lenovo,Intel Core i5 13th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,Open box
15.0,16,459.99,HP,Intel Core i7 11th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
15.6,8,599.99,Asus,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050,Dedicated Graphics,1920 x 1080,Open box
15.6,16,899.31,Lenovo,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 2050,Dedicated Graphics,1920 x 1080,New
15.6,16,369.99,Dell,Intel Core i7 10th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Good - Refurbished
14.0,16,750.0,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
14.0,16,879.0,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
15.6,16,799.99,Samsung,Intel Core i7 13th Gen.,Intel Arc A350M,Integrated Graphics,1920 x 1080,New
14.0,16,299.0,HP,Intel Core i7 6th Gen.,Intel HD 520,Integrated Graphics,1920 x 1080,Good - Refurbished
14.0,8,169.95,Lenovo,AMD Ryzen 3 4000 Series,AMD Radeon Graphics,Integrated Graphics,1366 x 768,Open box
15.6,8,416.99,Dell,Intel Core i5 12th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,535.0,Asus,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2880 x 1800,New
14.0,16,724.02,Acer,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,8,812.99,Lenovo,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 4050,Dedicated Graphics,1920 x 1080,New
13.3,8,549.0,Dell,Intel Core i5 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
15.6,16,251.95,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,8,269.99,Lenovo,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
17.3,32,599.99,HP,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1600 x 900,New
17.3,16,759.99,HP,Intel Core i5 12th Gen.,NVIDIA GeForce MX550,Dedicated Graphics,1920 x 1080,New
15.6,8,790.0,Asus,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1650 Ti,Dedicated Graphics,1920 x 1080,Open box
15.6,8,907.7,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,16,295.0,Dell,Intel Core i7 4th Gen.,NVIDIA GeForce GT 720M 2GB,Dedicated Graphics,1024 x 768,Good - Refurbished
14.0,8,214.0,Dell,Intel Core i5 5th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Good - Refurbished
13.4,16,881.27,Dell,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1200,Excellent - Refurbished
14.0,16,899.0,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1200,New
15.6,32,899.0,Lenovo,Intel Core i7 10th Gen.,NVIDIA Quadro RTX 4000,Dedicated Graphics,1920 x 1080,Open box
17.0,32,595.0,Dell,Intel Core i7 6th Gen.,AMD Radeon Pro WX 4130 w/2GB GDDR5,Dedicated Graphics,1024 x 768,Good - Refurbished
14.0,16,379.99,Dell,Intel Core i7 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
13.5,32,849.0,HP,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1280,Open box
15.6,16,214.0,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
15.0,16,708.99,Lenovo,Intel Core i7 12th Gen.,NVIDIA T600 Laptop GPU,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
14.1,16,674.99,Sony,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,16,931.88,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1900 x 1200,New
12.3,8,437.49,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,New
13.0,16,699.0,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1280,Open box
14.0,16,599.95,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Good - Refurbished
15.6,16,899.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
12.3,4,785.95,Microsoft,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,2736 x 1824,Open box
14.0,4,378.99,HP,Intel Core i3 7th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
17.0,16,819.98,LG,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2560 x 1600,Open box
13.5,16,699.99,HP,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,3000 x 2000,Excellent - Refurbished
17.3,8,420.0,Lenovo,Intel Core i5 10th Gen.,Intel UHD Graphics 620,Integrated Graphics,1600 x 900,New
14.0,8,989.78,MSI,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,4,329.99,Asus,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
13.3,16,337.46,Dell,Intel Core i7 8th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
13.3,16,769.99,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,3456 x 2160,Excellent - Refurbished
14.0,8,559.99,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1366 x 768,Open box
14.0,16,399.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,4,384.0,Lenovo,Intel Core i3 10th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
14.0,16,599.99,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,234.06,Dell,Intel Core i5 8th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
13.4,8,599.0,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
15.6,32,649.0,Dell,Intel Core i7 10th Gen.,NVIDIA Quadro T1000,Dedicated Graphics,1024 x 768,Very Good - Refurbished
17.3,32,785.99,Dell,Intel Core i9 8th Gen.,NVIDIA GeForce GTX 1080,Dedicated Graphics,2560 x 1440,Very Good - Refurbished
15.6,8,639.96,Samsung,Intel Core i5 11th Gen.,Intel Iris Xe MAX Graphics,Dedicated Graphics,1920 x 1080,New
13.0,16,451.99,Dell,Intel Core i7 10th Gen.,Intel(R) Iris(R) Plus Graphics,Dedicated Graphics,1920 x 1200,Good - Refurbished
13.3,8,749.99,Samsung,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,64,720.0,HP,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.5,8,270.0,Microsoft,Intel Core i5 8th Gen.,Intel Intel Uhd Graphics 620,Integrated Graphics,1024 x 768,New
12.4,8,499.0,Microsoft,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1536 x 1024,New
15.6,16,724.99,Samsung,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
13.5,8,800.0,Microsoft,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,Open box
15.6,16,899.99,MSI,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 4060,Dedicated Graphics,1920 x 1080,New
16.0,16,689.99,Lenovo,AMD Ryzen 5 7000 Series,AMD Radeon Graphics,Integrated Graphics,1920 x 1200,Open box
13.3,8,405.99,HP,Intel Core i5 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Good - Refurbished
14.0,8,549.5,Asus,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2880 x 1800,Open box
15.6,8,549.0,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1366 x 768,New
14.0,16,519.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1080,Excellent - Refurbished
13.5,16,649.99,HP,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1280,Excellent - Refurbished
15.6,16,619.99,Lenovo,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1650 Ti Max-Q,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
14.0,16,479.99,Dell,Intel Core i7 12th Gen.,Intel(R) UHD Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
14.0,8,849.0,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,349.0,Dell,Intel Core i3 12th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,New
14.0,8,450.0,HP,Intel Core i3 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
15.6,64,319.99,Dell,Intel Core i5 7th Gen.,Intel HD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
12.5,8,224.95,Dell,Intel Core i5 6th Gen.,Intel HD Graphics,Integrated Graphics,1366 x 768,Very Good - Refurbished
14.0,8,309.26,Lenovo,Intel Core i3 11th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
15.6,16,539.99,Samsung,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
15.6,64,446.0,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
14.0,16,369.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
17.3,16,850.0,Lenovo,Intel Core i7 9th Gen.,NVIDIA GeForce GTX 1660 Ti,Dedicated Graphics,1920 x 1080,Open box
16.0,16,750.0,Lenovo,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
14.0,16,249.99,HP,Intel Core i5 7th Gen.,Intel HD Graphics 620,Integrated Graphics,1920 x 1080,Excellent - Refurbished
14.0,8,459.33,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
13.3,16,325.0,HP,Intel Core i5 6th Gen.,Intel HD 520,Integrated Graphics,1366 x 768,Good - Refurbished
14.0,32,325.0,HP,Intel Core i7 6th Gen.,Intel HD 520,Integrated Graphics,1920 x 1080,Good - Refurbished
12.3,8,195.99,Microsoft,Intel Core i5 8th Gen.,Intel(R) UHD Graphics 620,Integrated Graphics,2736 x 1824,Good - Refurbished
14.0,16,229.0,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
16.0,16,599.99,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1200,Very Good - Refurbished
15.6,16,999.99,MSI,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 2060 Max-Q,Dedicated Graphics,1920 x 1080,Open box
15.6,16,779.99,HP,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1024 x 768,New
15.6,16,974.99,HP,Intel Core i7 13th Gen.,NVIDIA RTX A500,Dedicated Graphics,1920 x 1080,Open box
16.0,16,975.0,Dell,Intel Core i7 12th Gen.,NVIDIA GeForce MX450,Dedicated Graphics,3840 x 2400,Open box
17.0,8,375.0,HP,Intel Core i5 4th Gen.,NVIDIA Quadro K610M 1GB GDDR5,Dedicated Graphics,1920 x 1080,Good - Refurbished
14.0,32,389.99,Dell,Intel Core i7 8th Gen.,Intel HD Graphics 620,Integrated Graphics,1920 x 1080,Excellent - Refurbished
15.6,8,449.99,Asus,Intel Core i3 5th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
14.0,8,169.99,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,16,679.99,Dell,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,2560 x 1600,Excellent - Refurbished
14.0,8,194.0,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,New
14.0,64,370.0,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
12.3,16,588.0,Dell,Intel Core i7 8th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,New
17.3,16,332.1,HP,Intel Core i5 4th Gen.,Intel HD Graphics 4600 & Nvidia Quadro K1100M,Dedicated Graphics,1920 x 1080,Good - Refurbished
14.0,16,779.49,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2880 x 1800,New
12.4,8,379.99,Microsoft,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1536 x 1024,New
15.6,16,339.0,Dell,Intel Core i7 8th Gen.,NVIDIA GeForce GTX 1050 Ti,Integrated Graphics,1920 x 1080,Good - Refurbished
14.0,16,599.95,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Good - Refurbished
14.0,16,484.99,Lenovo,Intel Core i7 11th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
15.6,8,700.0,MSI,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1660 Ti,Dedicated Graphics,1920 x 1080,Open box
15.6,16,299.0,Dell,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
16.0,16,779.99,Lenovo,Intel Core i5 13th Gen.,Intel UHD Graphics,Dedicated Graphics,1920 x 1200,Open box
14.0,16,897.01,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
15.6,16,274.99,Dell,Intel Core i5 6th Gen.,AMD R7,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
15.6,32,892.06,HP,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1024 x 768,New
14.0,8,299.99,Lenovo,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
14.0,16,439.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1080,Excellent - Refurbished
14.0,16,999.99,MSI,Intel Core i7 11th Gen.,Nvidia GTX 1650 TI 4GB,Dedicated Graphics,3840 x 2160,Open box
15.6,8,311.1,Asus,Intel Core i3 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Open box
15.6,16,699.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Good - Refurbished
15.6,8,189.71,Dell,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,16,499.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,16,229.0,HP,Intel Core i5 6th Gen.,Intel HD Graphics,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
16.0,16,649.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,3072 x 1920,Very Good - Refurbished
15.0,8,359.96,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
16.0,16,873.26,Lenovo,Intel Core i7 13th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
13.5,16,799.99,Microsoft,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,Open box
15.6,16,88.24,Asus,Intel Core i7 12th Gen.,Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,330.16,Dell,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1280,Open box
14.0,16,159.99,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
14.0,16,644.95,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,3840 x 2400,Very Good - Refurbished
15.6,16,229.0,HP,Intel Core i7 5th Gen.,Intel HD Graphics,Dedicated Graphics,1920 x 1080,Very Good - Refurbished
15.6,16,365.66,HP,Intel Core i3 11th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
14.0,16,499.95,Lenovo,Intel Core i5 11th Gen.,Intel Iris Xe,Integrated Graphics,1920 x 1080,Open box
14.0,32,290.0,Dell,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,2560 x 1600,Open box
14.1,12,275.0,HP,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,32,489.0,Dell,Intel Core i7 9th Gen.,NVIDIA Quadro T1000,Dedicated Graphics,1024 x 768,Very Good - Refurbished
15.6,4,388.0,Lenovo,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
13.3,4,479.0,HP,Intel Core i3 4th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,New
14.0,16,355.0,Lenovo,Intel Core i5 7th Gen.,Intel HD 620,Integrated Graphics,1920 x 1080,Good - Refurbished
15.6,16,963.42,HP,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,429.99,Lenovo,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,16,699.99,HP,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.5,4,349.99,Acer,Intel Core i3 8th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Open box
13.4,16,769.99,Dell,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,3456 x 2160,Excellent - Refurbished
14.0,8,319.99,Dell,Intel Core i5 6th Gen.,Intel HD Graphics 520,Integrated Graphics,1366 x 768,Very Good - Refurbished
14.0,16,359.99,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Excellent - Refurbished
14.0,16,610.06,HP,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1024 x 768,New
14.0,32,144.95,HP,Intel Core i7 12th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,New
14.0,8,243.46,Lenovo,Intel Core i5 8th Gen.,Intel UHD Graphics,Integrated Graphics,1366 x 768,Very Good - Refurbished
15.6,16,999.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
15.3,8,424.15,Lenovo,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Open box
13.5,16,999.99,Microsoft,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,2256 x 1504,New
14.0,16,939.99,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.3,16,279.0,Dell,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
13.3,32,99.99,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
12.4,8,599.0,Microsoft,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1536 x 1024,New
13.3,16,460.99,HP,Intel Core i7 8th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Excellent - Refurbished
13.0,8,59.99,Microsoft,Intel Core i5 11th Gen.,Intel HD Graphics,Integrated Graphics,2880 x 1920,Open box
14.0,32,290.0,HP,Intel Core i5 8th Gen.,Intel HD 620,Integrated Graphics,1920 x 1080,Good - Refurbished
16.0,16,799.88,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
15.6,8,269.95,Dell,Intel Core i5 8th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Very Good - Refurbished
14.0,4,299.0,Dell,Intel Core i5 8th Gen.,Intel Corporation UHD Graphics 620,Integrated Graphics,1024 x 768,New
14.0,8,369.99,Acer,AMD Ryzen 3 3000 Series,AMD Radeon Graphics,Integrated Graphics,1366 x 768,New
14.0,8,188.95,Dell,Intel Core i5 8th Gen.,Intel HD Graphics,Integrated Graphics,1920 x 1080,Very Good - Refurbished
17.3,8,729.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
16.0,16,849.0,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
17.3,32,699.99,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,3840 x 2160,Excellent - Refurbished
15.6,32,385.0,Dell,Intel Core i7 8th Gen.,AMD Radeon Pro™ WX 2100,Dedicated Graphics,1920 x 1080,Good - Refurbished
15.0,16,265.0,HP,Intel Core i5 4th Gen.,Intel HD Graphics 5500,Integrated Graphics,1366 x 768,Good - Refurbished
13.0,8,270.0,Dell,Intel Core i5 7th Gen.,Intel UHD Graphics 620,Integrated Graphics,1920 x 1080,Good - Refurbished
14.0,16,544.95,Lenovo,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Excellent - Refurbished
14.0,16,639.99,Lenovo,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1200,Very Good - Refurbished
14.0,16,559.99,Lenovo,AMD Ryzen 5 5000 Series,AMD Radeon Graphics,Integrated Graphics,2240 x 1400,Open box
14.0,32,350.0,Dell,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,16,989.99,Dell,Intel Core i7 13th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,New
13.3,8,699.99,Samsung,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
15.6,8,565.0,HP,AMD Ryzen 5 7000 Series,NVIDIA GeForce RTX 2050,Dedicated Graphics,1920 x 1080,New
15.6,8,807.99,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,32,938.59,Lenovo,Intel Core i7 11th Gen.,NVIDIA Quadro T500,Dedicated Graphics,3840 x 2160,Open box
14.0,8,499.99,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1366 x 768,Open box
15.6,8,399.0,HP,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
13.5,8,700.0,Microsoft,Intel Core i5 10th Gen.,Intel Iris Plus Graphics,Integrated Graphics,2256 x 1504,New
15.6,64,510.0,HP,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
14.0,8,549.99,Dell,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,8,650.0,Lenovo,Intel Core i5 9th Gen.,NVIDIA GeForce GTX 1650,Dedicated Graphics,1920 x 1080,Open box
